1200180,Heyyyyy Joe,Southerleigh Brewing Co.,IPA - American,(3.57), 6.4% ABV , No IBU , 253 Ratings , Added 08/15/15 ,/SoutherleighBrewing
1200181,Kenyan Sunrise Summer Coffee Pale Ale,The Church Brew Works,Pale Ale - American,(3.45), 5.2% ABV , No IBU , 967 Ratings , Added 08/15/15 ,/churchbrewworks
1200183,French Pale Ale (R&D; Brew),Jailbreak Brewing Company,Pale Ale - Belgian,(3.6), 6.6% ABV , No IBU , 15 Ratings , Added 08/15/15 ,/JailbreakBrewingCompany
1200184,Sant�-19!,Brasserie Fant�me,Saison / Farmhouse Ale,(3.92), 8% ABV , No IBU , 204 Ratings , Added 08/15/15 ,/w/brasserie-fantome/3241
1200185,Gone KoCo,Big Lick Brewing Company,Porter - Other,(3.84), 7% ABV , 37 IBU , 251 Ratings , Added 09/13/14 ,/biglick
1200186,Bill's Heiferweizen,Loose Shoe Brewing Company,Hefeweizen,(3.48), 4.8% ABV , 12 IBU , 47 Ratings , Added 08/15/15 ,/w/loose-shoe-brewing-company/196634
1200189,Capivara Little IPA,Cerveja Blumenau,IPA - American,(3.91), 6.6% ABV , 65 IBU ," 2,626 Ratings ", Added 08/15/15 ,/CervejaBlumenau
1200190,Quantum Belgian Pale Ale,Ecliptic Brewing,Pale Ale - Belgian,(3.58), 5.5% ABV , No IBU , 187 Ratings , Added 08/15/15 ,/EclipticBrewing
1200191,IPA,Resolution Brewing Company,IPA - American,(3.58), 6.8% ABV , 48 IBU , 12 Ratings , Added 08/15/15 ,/ResolutionBrewingCompany
1200193,Skully Barrel No. 29,Paradox Beer Company (Colorado),Sour - Ale,(4.05), 7.6% ABV , 17 IBU ," 2,251 Ratings ", Added 08/15/15 ,/thedox
1200195,He Said,Drake's Brewing Company,IPA - Imperial / Double,(3.77), 7.7% ABV , No IBU , 213 Ratings , Added 08/15/15 ,/drakesbrewing
1200197,Spearman First Class,Stickmen Brewing Company,Red Ale - Imperial / Double,(3.82), 7.7% ABV , 84 IBU , 43 Ratings , Added 08/15/15 ,/StickmenBeer
1200199,Gose,Lunacy Brewing Company,Sour - Gose,(3.52), 4.1% ABV , 10 IBU , 132 Ratings , Added 08/15/15 ,/LunacyBrewingCo
1200202,Singularity,Karl Strauss Brewing Company,IPA - Black / Cascadian Dark Ale,(3.78), 8% ABV , 55 IBU , 577 Ratings , Added 08/10/15 ,/karlstrauss
1200203,Monk's Caf� Flemish Sour Ale,Brouwerij Van Steenberge,Sour - Flanders Oud Bruin,(3.84), 5.5% ABV , No IBU ," 81,139 Ratings ", Added 01/06/11 ,/BrouwerijVanSteenberge
1200204,Gods Among Us,Abysmo,IPA - American,(3.33), No ABV , No IBU , 16 Ratings , Added 08/15/15 ,/w/abysmo/128187
1200205,Coccinelle Pomme-fraise,Cidrerie Milton,Cider - Other,(3.67), No ABV , No IBU , 15 Ratings , Added 08/15/15 ,/w/cidrerie-milton/27302
1200206,Lava Hound,Splash Brew Company,Hefeweizen,(2.89), 5.4% ABV , 20 IBU , 20 Ratings , Added 08/15/15 ,/w/splash-brew-company/21874
1200209,Sour Red,StoneyHead Brewing Company,Sour - Ale,(3.61), 5.8% ABV , 38 IBU , 27 Ratings , Added 08/15/15 ,/StoneyHeadBrewingCo
1200210,Flameout,John Harvard's Brew House,Lager - Pale,(3.71), 5.2% ABV , 30 IBU , 42 Ratings , Added 08/15/15 ,/johnharvards
1200211,Dry Hopped Pilsnah,Hallertau Brewery,Pilsner - Other,(3.52), 5.4% ABV , 20 IBU , 140 Ratings , Added 08/15/15 ,/hallertau
1200213,Double D,Dominion Brewing Co.,IPA - Imperial / Double,(3.67), 8% ABV , 90 IBU ," 30,685 Ratings ", Added 03/25/11 ,/DominionBrewing
1200215,Ip� Amarelo American Lager,Cerveja Blumenau,Lager - American Light,(3.71), 5% ABV , 30 IBU ," 1,204 Ratings ", Added 08/15/15 ,/CervejaBlumenau
1200216,Pale-Ish Paleale,Primal Brewery,Pale Ale - American,(3.46), 5.2% ABV , 39 IBU , 39 Ratings , Added 08/15/15 ,/Primal_Brewery
1200218,Hefe Depew,Great Divide Brewing Company,Hefeweizen,(3.71), 4.7% ABV , No IBU , 117 Ratings , Added 08/06/15 ,/greatdivide
1200219,Hop Roar,"Carolina Brewing Company (Holly Springs, NC)",IPA - American,(3.75), 7.5% ABV , 82 IBU ," 4,590 Ratings ", Added 04/09/15 ,/CarolinaBrewingCompany
1200223,Raccoon Lodge Light Lager,Raccoon Lodge,Lager - American Light,(2.98), No ABV , No IBU , 22 Ratings , Added 06/18/14 ,/w/raccoon-lodge/137802
1200225,Rosemary Gose,Three Palms Brewing,Sour - Gose,(3.82), 4% ABV , No IBU , 23 Ratings , Added 08/15/15 ,/TPB
1200228,Red Trolley with Sea Salt and Carmel,Karl Strauss Brewing Company,Red Ale - American Amber / Red,(3.67), 5.8% ABV , 17 IBU , 61 Ratings , Added 08/15/15 ,/karlstrauss
1200230,Meyer Lemon,Odell Brewing Co.,Blonde Ale,(3.52), 5.2% ABV , No IBU ," 1,593 Ratings ", Added 07/23/15 ,/OdellBrewing
1200231,Amber Ale,Rio Bravo Brewing Company,Red Ale - American Amber / Red,(3.36), 5.7% ABV , 53 IBU , 240 Ratings , Added 08/15/15 ,/w/rio-bravo-brewing-company/220385
1200232,Cave Dweller Pale Ale,Stumptown Ales,Pale Ale - American,(3.85), 5.9% ABV , No IBU , 407 Ratings , Added 11/21/15 ,/StumptownAles
1200234,King Balaton,Alter Brewing Company,Fruit Beer,(3.54), 5.1% ABV , 10 IBU ," 1,793 Ratings ", Added 03/24/16 ,/AlterBrewing_Company
1200236,Call Me In the Morning,Three Palms Brewing,Sour - Gose,(3.72), 4% ABV , No IBU , 85 Ratings , Added 07/22/15 ,/TPB
1200237,Amber Ale,Rio Bravo Brewing Company,Red Ale - American Amber / Red,(3.36), 5.7% ABV , 53 IBU , 240 Ratings , Added 08/15/15 ,/w/rio-bravo-brewing-company/220385
1200238,John Durgin Ale,Harpoon Brewery,Pale Ale - American,(3.57), No ABV , No IBU , 859 Ratings , Added 12/28/10 ,/harpoonbrewery
1200239,Rye PA,Coal Creek TAP,Rye Beer,(3.79), No ABV , No IBU , 21 Ratings , Added 08/15/15 ,/CoalCreekTAP
1200240,Tanilla,Knee Deep Brewing Company,Porter - American,(3.76), 6.3% ABV , 30 IBU ," 12,969 Ratings ", Added 02/26/11 ,/kneedeepbrewing
